sudo 1.9.16.p1-1
sysfsutils 2.1.1-2
sysstat 12.7.6-1
systemd-sysvcompat 256.8-1
telegram-desktop 5.7.2-3
terminus-font 4.49.1-7
tex-gyre-fonts 2.501-3
tex-gyre-math-fonts 1.632-1
texinfo 7.1.1-1
texlive-binextra 2024.2-3
texstudio 4.8.4-1
thunar 4.18.11-3
thunar-archive-plugin 0.5.2-3
thunar-volman 4.18.0-4
tldr 3.3.0-1
tmux 3.5_a-1
traceroute 2.1.5-1
tree 2.1.3-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-fira-code 6.2-2
ttf-font-awesome 6.6.0-1
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-liberation 2.1.5-2
ttf-opensans 1.101-3
tumbler 4.18.2-3
udiskie 2.5.3-1
unetbootin 702-2
unrar 1:7.1.1-1
unzip 6.0-21
upower 1.90.6-1
usb_modeswitch 2.6.1-4
usbutils 018-1
vi 1:070224-6
vim 9.1.0866-1
visual-studio-code-bin 1.95.3-1
vulkan-intel 1:24.2.7-1
vulkan-radeon 1:24.2.7-1
welcome 24.10-1
wezterm 20240203.110809.5046fc22-2
wget 1.25.0-1
which 2.21-6
wireguird 1.1.0-1
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
woeusb 5.2.4-1
wpa_supplicant 2:2.11-2
xarchiver 0.5.4.23-1
xbindkeys 1.8.7-5
xclip 0.13-5
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.11-3
xdg-utils 1.2.1-1
xed 3.6.6-2
xf86-input-libinput 1.5.0-1
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xf86-video-vmware 13.4.0-3
xfce4-terminal 1.1.3-3
xfsprogs 6.11.0-1
xl2tpd 1.3.18-2
xmobar 0.48.1-35
xmonad 0.18.0-22
xmonad-contrib 0.18.1-7
xorg-server 21.1.14-1
xorg-xbacklight 1.2.4-1
xorg-xdpyinfo 1.3.4-2
xorg-xev 1.2.6-1
xorg-xinit 1.4.2-2
xorg-xinput 1.6.4-2
xorg-xkill 1.0.6-2
xorg-xrandr 1.5.3-1
xsel 1.2.1-2
xterm 395-1
yay 12.4.2-1
zed 0.161.2-1
zellij 0.41.1-1
zig 0.13.0-1
zip 3.0-11
zoxide 0.9.6-1
zram-generator 1.1.2-1
zsh 5.9-5
